,ID,E_Brent,D_caso,D_tal,C_Gas,C_Perfo,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,LE_year_b,lc_b,dc_b,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
55,55,70,Medio,1,6,1000000,-3954.4918,247436.1292,243481.6374,2.9114873371347256,197000,850236.7315,904996.7461,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,8.9869,7.8185,116224.9253,128493.8286,126672.5247,626796.9405,11924.0244
56,56,40,Medio,1,7,650000,-11554.183,52739.3778,41185.1948,1.0409803262641277,129800,850639.571,908075.7393,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.5626,5.2784,113506.4069,85037.8609,35783.5072,289941.0393,14428.0695
57,57,45,Medio,1,7,650000,-10301.797,91479.4007,81177.6037,1.693318944871617,129800,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.1907,115779.7621,85037.8609,52517.0557,347628.7093,13116.4268
58,58,50,Medio,1,7,650000,-9049.4109,129361.2348,120311.8239,2.330572752474929,129800,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.1907,115779.7621,85037.8609,68826.0109,403071.8847,13116.4268
59,59,55,Medio,1,7,650000,-7797.0249,167174.9866,159377.9617,2.9678265600782425,129800,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.1907,115779.7621,85037.8609,85203.0484,458515.06,13116.4268
60,60,60,Medio,1,7,650000,-6544.6388,204947.5866,198402.9478,3.605080367681556,129800,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.1907,115779.7621,85037.8609,101621.2377,513958.2353,13116.4268
61,61,65,Medio,1,7,650000,-5292.2528,242714.3788,237422.126,4.242334175284868,129800,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.1907,115779.7621,85037.8609,118045.2348,569401.4107,13116.4268
62,62,70,Medio,1,7,650000,-4039.8668,280965.2742,276925.4074,4.8946603524557135,129800,850639.571,908075.7393,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,9.1083,5.1515,117642.7949,85037.8609,135266.8529,626796.9405,11924.0244
63,63,40,Medio,1,7,700000,-11554.183,47819.2225,36265.0395,0.9021205268793726,139400,850639.571,908075.7393,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.5626,5.6688,113506.4069,91245.8563,34495.6671,289941.0393,14428.0695
64,64,45,Medio,1,7,700000,-10301.797,86557.0203,76255.2233,1.51007672714178,139400,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.5746,115779.7621,91245.8563,51231.4408,347628.7093,13116.4268
65,65,50,Medio,1,7,700000,-9049.4109,124438.8543,115389.4434,2.1039744244761347,139400,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.5746,115779.7621,91245.8563,67540.396,403071.8847,13116.4268
66,66,55,Medio,1,7,700000,-7797.0249,162253.6765,154456.6516,2.69787212181049,139400,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.5746,115779.7621,91245.8563,83916.3631,458515.06,13116.4268
67,67,60,Medio,1,7,700000,-6544.6388,200026.2765,193481.6376,3.291769819144845,139400,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.5746,115779.7621,91245.8563,100334.5524,513958.2353,13116.4268
68,68,65,Medio,1,7,700000,-5292.2528,237793.0687,232500.8158,3.8856675164791983,139400,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.5746,115779.7621,91245.8563,116758.5496,569401.4107,13116.4268
69,69,70,Medio,1,7,700000,-4039.8668,276045.4706,272005.6038,4.493612121768793,139400,850639.571,908075.7393,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,9.1083,5.5325,117642.7949,91245.8563,133978.6611,626796.9405,11924.0244
70,70,40,Medio,1,7,750000,-11554.183,42899.0671,31344.8841,0.7809519794613002,149000,850639.571,908075.7393,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.5626,6.0592,113506.4069,97453.8517,33207.8271,289941.0393,14428.0695
71,71,45,Medio,1,7,750000,-10301.797,81634.6398,71332.8428,1.3501802456088536,149000,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.9585,115779.7621,97453.8517,49945.8259,347628.7093,13116.4268
72,72,50,Medio,1,7,750000,-9049.4109,119516.4739,110467.0629,1.9062455614601321,149000,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.9585,115779.7621,97453.8517,66254.7811,403071.8847,13116.4268
73,73,55,Medio,1,7,750000,-7797.0249,157332.3664,149535.3415,2.4623108773114115,149000,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.9585,115779.7621,97453.8517,82629.6779,458515.06,13116.4268
74,74,60,Medio,1,7,750000,-6544.6388,195104.9663,188560.3275,3.0183761931626902,149000,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.9585,115779.7621,97453.8517,99047.8672,513958.2353,13116.4268
75,75,65,Medio,1,7,750000,-5292.2528,232871.7585,227579.5057,3.5744415090139694,149000,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.9585,115779.7621,97453.8517,115471.8643,569401.4107,13116.4268
76,76,70,Medio,1,7,750000,-4039.8668,271125.667,267085.8002,4.143658918809916,149000,850639.571,908075.7393,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,9.1083,5.9135,117642.7949,97453.8517,132690.4693,626796.9405,11924.0244
77,77,40,Medio,1,7,800000,-11554.183,37978.9118,26424.7288,0.6742962591615819,158600,850639.571,908075.7393,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.5626,6.4496,113506.4069,103661.8471,31919.987,289941.0393,14428.0695
78,78,45,Medio,1,7,800000,-10301.797,76712.2593,66410.4624,1.209435186146819,158600,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,6.3424,115779.7621,103661.8471,48660.2109,347628.7093,13116.4268
79,79,50,Medio,1,7,800000,-9049.4109,114594.0934,105544.6825,1.7321994516536634,158600,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,6.3424,115779.7621,103661.8471,64969.1661,403071.8847,13116.4268
80,80,55,Medio,1,7,800000,-7797.0249,152411.0562,144614.0313,2.2549637171605084,158600,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,6.3424,115779.7621,103661.8471,81342.9926,458515.06,13116.4268
81,81,60,Medio,1,7,800000,-6544.6388,190183.6562,183639.0174,2.777727982667353,158600,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,6.3424,115779.7621,103661.8471,97761.1819,513958.2353,13116.4268
82,82,65,Medio,1,7,800000,-5292.2528,227950.4484,222658.1956,3.300492248174198,158600,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,6.3424,115779.7621,103661.8471,114185.179,569401.4107,13116.4268
83,83,70,Medio,1,7,800000,-4039.8668,266205.8634,262165.9966,3.835620968961509,158600,850639.571,908075.7393,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,9.1083,6.2945,117642.7949,103661.8471,131402.2775,626796.9405,11924.0244
84,84,40,Medio,1,7,850000,-11554.183,33058.7565,21504.5735,0.5796933050695755,168200,850639.571,908075.7393,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.5626,6.84,113506.4069,109869.8425,30632.147,289941.0393,14428.0695
85,85,45,Medio,1,7,850000,-10301.797,71789.8789,61488.0819,1.0845952023039767,168200,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,6.7263,115779.7621,109869.8425,47374.596,347628.7093,13116.4268
86,86,50,Medio,1,7,850000,-9049.4109,109671.713,100622.302,1.5778216452908747,168200,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,6.7263,115779.7621,109869.8425,63683.5512,403071.8847,13116.4268
87,87,55,Medio,1,7,850000,-7797.0249,147489.7461,139692.7212,2.0710480882777733,168200,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,6.7263,115779.7621,109869.8425,80056.3074,458515.06,13116.4268
88,88,60,Medio,1,7,850000,-6544.6388,185262.3461,178717.7072,2.564274531264672,168200,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,6.7263,115779.7621,109869.8425,96474.4967,513958.2353,13116.4268
89,89,65,Medio,1,7,850000,-5292.2528,223029.1382,217736.8854,3.05750097425157,168200,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,6.7263,115779.7621,109869.8425,112898.4938,569401.4107,13116.4268
