,ID,E_Brent,D_caso,D_tal,C_Gas,C_Perfo,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,LE_year_b,lc_b,dc_b,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
85,85,45,Medio,1,7,850000,-7727.448,69831.8086,62104.3606,1.0667735011096107,168200,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,6.7263,115779.7621,109869.8425,47374.596,347628.7093,12500.1481
86,86,50,Medio,1,7,850000,-6475.0619,107713.6427,101238.5807,1.5599999440965089,168200,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,6.7263,115779.7621,109869.8425,63683.5512,403071.8847,12500.1481
87,87,55,Medio,1,7,850000,-5222.6759,145531.6758,140308.9999,2.0532263870834075,168200,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,6.7263,115779.7621,109869.8425,80056.3074,458515.06,12500.1481
88,88,60,Medio,1,7,850000,-3970.2899,183304.2758,179333.9859,2.546452830070306,168200,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,6.7263,115779.7621,109869.8425,96474.4967,513958.2353,12500.1481
89,89,65,Medio,1,7,850000,-2717.9038,221071.0679,218353.1641,3.0396792730572044,168200,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,6.7263,115779.7621,109869.8425,112898.4938,569401.4107,12500.1481
90,90,70,Medio,1,7,850000,-1465.5178,259271.9642,257806.4464,3.544061616914869,168200,850639.571,908075.7393,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,9.1083,6.6755,117642.7949,109869.8425,130114.0857,626796.9405,11363.771
91,91,40,Medio,1,7,900000,-8979.834,26242.1587,17262.3247,0.478871669021084,177800,850639.571,908075.7393,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.5626,7.2304,113506.4069,116077.8379,29344.3069,289941.0393,13750.163
92,92,45,Medio,1,7,900000,-7727.448,64909.4281,57181.9802,0.956239848874888,177800,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,7.1102,115779.7621,116077.8379,46088.9811,347628.7093,12500.1481
93,93,50,Medio,1,7,900000,-6475.0619,102791.2622,96316.2003,1.4230879104453018,177800,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,7.1102,115779.7621,116077.8379,62397.9363,403071.8847,12500.1481
94,94,55,Medio,1,7,900000,-5222.6759,140610.3656,135387.6897,1.889935972015716,177800,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,7.1102,115779.7621,116077.8379,78769.6221,458515.06,12500.1481
95,95,60,Medio,1,7,900000,-3970.2899,178382.9656,174412.6758,2.356784033586131,177800,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,7.1102,115779.7621,116077.8379,95187.8114,513958.2353,12500.1481
96,96,65,Medio,1,7,900000,-2717.9038,216149.7578,213431.854,2.823632095156545,177800,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,7.1102,115779.7621,116077.8379,111611.8085,569401.4107,12500.1481
97,97,70,Medio,1,7,900000,-1465.5178,254352.1606,252886.6428,3.3010394257415108,177800,850639.571,908075.7393,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,9.1083,7.0565,117642.7949,116077.8379,128825.8939,626796.9405,11363.771
98,98,40,Medio,1,7,950000,-8979.834,21322.0033,12342.1693,0.40379495778270386,187400,850639.571,908075.7393,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.5626,7.6208,113506.4069,122285.8333,28056.4669,289941.0393,13750.163
99,99,45,Medio,1,7,950000,-7727.448,59987.0477,52259.5997,0.8569289517073548,187400,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,7.4941,115779.7621,122285.8333,44803.3661,347628.7093,12500.1481
100,100,50,Medio,1,7,950000,-6475.0619,97868.8817,91393.8198,1.3000768941616871,187400,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,7.4941,115779.7621,122285.8333,61112.3213,403071.8847,12500.1481
101,101,55,Medio,1,7,950000,-5222.6759,135689.0555,130466.3796,1.7432248366160201,187400,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,7.4941,115779.7621,122285.8333,77482.9369,458515.06,12500.1481
